Title,Synopsis,Links
Titre inconnu,"SynopsisTout publicTian a 12 ans quand il est envoyé chez sa grand-mère à cause de ses mauvais résultats à l'école. Loin de la ville, dans les mystérieuses montagnes chinoises, il se lie d’amitié en secret avec un panda qu’il nomme Moon. C’est le début d’une incroyable aventure qui va changer à tout jamais sa vie et celle de sa famille.",http://www.allocine.fr/film/fichefilm_gen_cfilm=325691.html
Titre inconnu,"SynopsisTout publicSœur Lucie, religieuse dévouée, décide de fuir son couvent au bout de 20 ans pour retrouver son amour de jeunesse. C'est pour elle le début d'une aventure extraordinaire qui mettra sa foi à l'épreuve et la confrontera au monde d’aujourd’hui plein de surprises et de tentations.",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000003827.html
Titre inconnu,"SynopsisTout publicLorsqu’un policier et son fidèle compagnon de la brigade canine sont tous les deux blessés au cours d’une mission, une opération chirurgicale aussi insensée que miraculeuse les lie à jamais et donne naissance à celui qu’on appellera désormais Dog Man. Celui-ci est depuis aussi motivé pour servir son pays que pour rapporter ce qu’on lui lance, s’asseoir sagement ou se rouler par terre.Dog Man s’évertue à faire ses preuves sous cette nouvelle identité pour mieux impressionner son supérieur, en mettant fin aux exactions du chat tristement célèbre Monpetit. Jamais à court de mauvaises idées, le félin n’a récemment rien trouvé de mieux que de se cloner lui-même afin de doubler sa capacité à commettre des infractions. Mais la situation se corse encore quand Petitmonpetit, son tout jeune clone, tombe entre les griffes d'un ennemi commun. Pour sauver le petit chaton, chien et chat unissent alors leurs forces bien malgré eux dans une course contre la montre survoltée. L’occasion pour eux de découvrir que les liens familiaux sont capables de réunir les ennemis les plus hostiles.",http://www.allocine.fr/film/fichefilm_gen_cfilm=296648.html
Titre inconnu,"SynopsisTout publicCharlie Heller, un cryptographe de la CIA aussi brillant qu’introverti, voit son existence basculer lorsque sa femme décède durant une attaque terroriste perpétrée à Londres. Déplorant l’inaction de sa hiérarchie, il prend alors l’affaire en mains et se met à la recherche des assassins, embarquant pour un dangereux voyage partout à travers le monde pour assouvir sa vengeance.",http://www.allocine.fr/film/fichefilm_gen_cfilm=313550.html
Titre inconnu,SynopsisInterdit - 12 ans avec avertissementUn voleur s'introduit dans une voiture de luxe et se retrouve piégé à l'intérieur. Il découvre que son énigmatique propriétaire en a le contrôle total et qu’il va exercer sur lui une vengeance diabolique.,http://www.allocine.fr/film/fichefilm_gen_cfilm=313672.html
Titre inconnu,"SynopsisTout publicMikado et Laetitia vivent avec leurs enfants sur les routes. Une panne de moteur les amène à s’installer le temps d’un été chez Vincent, un enseignant qui vit seul avec sa fille. C’est le début d’une parenthèse enchantée qui pourrait aussi bouleverser l’équilibre de toute la famille alors que Nuage, leur fille aînée, se prend à rêver d’une vie normale.",http://www.allocine.fr/film/fichefilm_gen_cfilm=313954.html
Titre inconnu,"SynopsisTout publicSur un coup de tête, Mathyas troque sa vie de publicitaire à Montréal pour celle de berger en Provence. Il espérait trouver la quiétude, il découvre un métier éreintant et des éleveurs souvent à bout. Mais quand il rencontre Elise qui elle aussi vient de tout quitter, ils se voient confier un troupeau de 800 moutons et s’engagent dans une transhumance. Ensemble, ils vont traverser les épreuves de la montagne et se façonner une vie nouvelle.",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000000424.html
Titre inconnu,"SynopsisEn direct de l'Opéra Bastille Jeudi 10 avril 2025                               Reprises les Jeudi 22 et Dimanche 25 mai 2025Lors de son baptême, la Princesse Aurore se voit accorder toutes les perfections et grâces par ses marraines. La méchante Fée Carabosse, qu’on a oublié d’inviter aux festivités, lance une prédiction terrible : Aurore se piquera le doigt avec une aiguille et mourra. Heureusement, la Fée des Lilas atténue le mauvais sort. Au lieu de mourir, la Princesse tombera dans un long et profond sommeil qui durera cent ans.— Pour Rudolf Noureev, La Belle au bois dormant, qu’il a créé à l’Opéra national de Paris en 1989, représente le « ballet des ballets », l’accomplissement parfait de la « danse symphonique ». Offrant un spectacle féérique, tant par la poésie du sujet que par la splendeur de la production, cette œuvre majestueuse portée par la partition lumineuse de Tchaïkovski demeure un joyau du répertoire classique.Ballet en trois actes et un prologue.",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000016713.html
Titre inconnu,"SynopsisLa table est prête. Le peuple d'Israël accueille Jésus en roi, tandis que ses disciples attendent son couronnement avec impatience. Mais, au lieu de défier Rome, Jésus a un tout autre plan. Menacés dans leur pouvoir, les dirigeants religieux et politiques du pays sont prêts à tout pour faire de ce repas de Pâque le dernier de Jésus.",http://www.allocine.fr/film/fichefilm_gen_cfilm=1000015911.html
Titre inconnu,"SynopsisTout public avec avertissementEn Guadeloupe, Chris partage son temps entre deals, aventures sans lendemain et rodéos en moto. Repéré par Odell, le caïd du quartier voisin, Chris se voit confier une livraison à risque. Malgré la mise en garde de son meilleur ami, il accepte la mission. Mais le jour de la livraison, il découvre qu'un bébé a été déposé devant sa porte. Commence alors pour lui, une course infernale qui le mènera à un choix crucial...",http://www.allocine.fr/film/fichefilm_gen_cfilm=317103.html
